"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-boringtun-node1.csv 60",,,,"Date:","11 Aug 2019 13:56:47 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
11-08 14:24:47,14.342,13.537,72.116,0.004,0,361619456,6976475136,29921280,916516864,1.490,1.320,0.950,25222062.900,44982235.783
11-08 14:25:47,14.338,13.919,71.739,0.004,0,361521152,6976458752,30011392,916525056,1.110,1.240,0.950,28123432.017,50835592.367
11-08 14:26:47,14.530,13.646,71.824,0,0,361652224,6976200704,30109696,916525056,0.850,1.140,0.930,31842834.717,58068087.983
11-08 14:27:47,11.189,11.333,77.474,0.004,0,362508288,6973124608,30199808,918626304,0.860,1.080,0.920,1358663403.433,1368301799.167
11-08 14:28:47,9.398,10.333,80.270,0,0,362090496,6973423616,30281728,918626304,0.750,1.010,0.910,2097670840.717,2097671028.667
11-08 14:29:47,9.536,10.037,80.427,0,0,361353216,6973984768,30396416,918626304,0.920,0.990,0.910,2026246144.567,2026246286.400
11-08 14:30:47,9.205,10.509,80.282,0.004,0,360333312,6974873600,30494720,918630400,0.890,0.950,0.900,2158044273.617,2158044402.717
11-08 14:31:47,9.240,10.653,80.107,0,0,362561536,6972534784,30584832,918630400,0.910,0.930,0.900,2211914171.467,2211914286.450
11-08 14:32:47,8.924,10.897,80.175,0.004,0,362438656,6972497920,30691328,918634496,0.820,0.890,0.890,2068386877.283,2068386919.567
11-08 14:33:47,9.142,10.534,80.319,0.004,0,362061824,6972743680,30773248,918634496,0.700,0.850,0.880,2142023114.233,2142022101.567
11-08 14:34:47,7.782,8.689,83.528,0,0,364175360,6972604416,30871552,916541440,0.490,0.770,0.850,1788706366.300,1788707243.117
11-08 14:35:47,12.242,7.249,80.505,0.004,0,363421696,6973259776,30953472,916541440,0.680,0.780,0.840,440635297.083,243454772.200
11-08 14:36:47,5.184,3.220,91.592,0.004,0,362733568,6973853696,31043584,916545536,0.400,0.680,0.800,392129944.100,389604046.033
11-08 14:37:47,3.871,4.312,91.816,0,0,361271296,6975221760,31141888,916541440,0.290,0.610,0.770,18798040.100,10435735.033
11-08 14:38:47,0.864,0.621,98.506,0.008,0,335630336,7001423872,31334400,916606976,0.330,0.580,0.760,18446744023152467968,18446744023256854528
