"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-encap-go-node2.csv 60",,,,"Date:","12 Aug 2019 01:07:28 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
12-08 01:43:28,0.167,0.104,99.728,0,0,166232064,7495102464,18055168,627228672,0.170,0.330,0.320,1041.133,1366.483
12-08 01:44:28,0.188,0.088,99.725,0,0,165908480,7495344128,18128896,627236864,0.060,0.260,0.300,1069.133,1354.950
12-08 01:45:28,0.155,0.100,99.741,0.004,0,165879808,7495278592,18202624,627249152,0.050,0.230,0.280,1080.033,1489.517
12-08 01:46:28,3.493,0.152,96.355,0,0,166039552,7495041024,18268160,627253248,0.020,0.180,0.260,21194974.333,42068597.183
12-08 01:47:28,5.716,0.651,93.628,0.004,0,164765696,7496249344,18333696,627253248,0.190,0.210,0.260,38119806.183,19418373.100
12-08 01:48:28,4.130,0.427,95.444,0,0,166170624,7494782976,18391040,627257344,0.160,0.200,0.260,24868758.733,45445568.500
12-08 01:49:28,0.301,0.230,99.461,0.008,0,132165632,7529357312,18509824,627146752,0.060,0.160,0.240,18446744073199609856,18446744073182085120
12-08 01:50:28,0.167,0.121,99.708,0.004,0,131592192,7530536960,18567168,626741248,0.390,0.210,0.250,565.300,269.683
12-08 01:51:28,0.117,0.088,99.795,0,0,131584000,7530504192,18616320,626733056,0.140,0.170,0.230,562.483,268.183
12-08 01:52:28,0.154,0.104,99.741,0,0,131821568,7530213376,18657280,626745344,0.050,0.140,0.220,567.517,276.333
12-08 01:53:28,0.159,0.113,99.725,0.004,0,131837952,7530147840,18714624,626737152,0.020,0.110,0.200,575.550,292.483
12-08 01:54:28,0.159,0.075,99.766,0,0,131940352,7529996288,18763776,626737152,0,0.090,0.180,555.183,263.500
12-08 01:55:28,0.167,0.063,99.770,0,0,131915776,7529963520,18812928,626741248,0,0.070,0.170,556.383,266.500
12-08 01:56:28,0.146,0.075,99.779,0,0,131641344,7530188800,18853888,626749440,0.110,0.080,0.170,574.317,291.383
12-08 01:57:28,0.154,0.067,99.775,0.004,0,131887104,7529889792,18911232,626745344,0.040,0.070,0.160,556.600,269.683
