"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-wireguard-node1.csv 60",,,,"Date:","11 Aug 2019 11:02:37 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
11-08 11:35:37,9.138,10.360,80.498,0.004,0,347013120,7070814208,36233216,828538880,0.740,1.540,1.540,1999885957.433,1999886641.967
11-08 11:36:37,9.353,10.713,79.934,0,0,346779648,7070900224,36331520,828551168,1.080,1.500,1.530,2083421286.833,2083421951.917
11-08 11:37:37,9.172,10.745,80.079,0.004,0,347471872,7070093312,36413440,828555264,0.920,1.380,1.480,2175935346.850,2175936016.500
11-08 11:38:37,8.896,11.133,79.971,0,0,346578944,7070867456,36487168,828575744,0.930,1.290,1.440,2273101900.783,2273102594.650
11-08 11:39:37,9.241,10.666,80.089,0.004,0,346800128,7070527488,36569088,828583936,0.980,1.210,1.410,2129189820.750,2129190477.767
11-08 11:40:37,9.213,10.562,80.220,0.004,0,349396992,7067791360,36659200,828596224,0.920,1.140,1.370,2114661807.900,2114662467.867
11-08 11:41:37,8.529,5.112,86.359,0,0,349962240,7069192192,36765696,826507264,0.680,1.040,1.310,631799714.100,631590054.933
11-08 11:42:37,10.319,10.036,79.641,0.004,0,361615360,7057453056,36847616,826511360,1.350,1.210,1.360,503609858.883,432172950.400
11-08 11:43:37,4.352,5.965,89.683,0,0,347045888,7071928320,36929536,826519552,1.210,1.180,1.340,43611569.333,23874229.933
11-08 11:44:37,0.957,0.728,98.302,0.013,0,313806848,7106056192,37167104,826478592,0.500,0.980,1.260,18446744023315572736,18446744023382513664
11-08 11:45:37,0.670,0.394,98.932,0.004,0,313495552,7107174400,37253120,826040320,0.300,0.830,1.190,367.267,1054.950
11-08 11:46:37,0.665,0.489,98.842,0.004,0,313384960,7107141632,37367808,826068992,0.270,0.730,1.130,449.650,1079.517
11-08 11:47:37,0.690,0.343,98.963,0.004,0,312832000,7107592192,37466112,826073088,0.100,0.600,1.060,447.567,1111.350
11-08 11:48:37,0.619,0.389,98.992,0,0,312451072,7107891200,37548032,826073088,0.030,0.490,0.990,356.233,1057.483
11-08 11:49:37,0.791,0.427,98.778,0.004,0,312045568,7108214784,37629952,826073088,0.090,0.420,0.940,410.050,1053.750
11-08 11:50:37,0.607,0.322,99.071,0,0,312184832,7107989504,37711872,826077184,0.500,0.470,0.920,388.333,1062.717
11-08 11:51:37,0.619,0.402,98.975,0.004,0,312410112,7107665920,37810176,826077184,0.180,0.380,0.860,362.783,1055.033
11-08 11:52:37,0.614,0.468,98.918,0,0,313131008,7106859008,37892096,826081280,0.100,0.330,0.810,377.483,1073.750
11-08 11:53:37,0.666,0.356,98.974,0.004,0,313630720,7106277376,37974016,826081280,0.200,0.300,0.760,388.067,1069.017
11-08 11:54:37,0.632,0.306,99.062,0,0,313569280,7106244608,38064128,826085376,0.070,0.240,0.710,384.333,1074.017
11-08 11:55:37,0.590,0.472,98.934,0.004,0,313761792,7105961984,38162432,826077184,0.170,0.230,0.680,433.650,1125.717
11-08 11:56:37,0.603,0.377,99.016,0.004,0,313696256,7105929216,38252544,826085376,0.200,0.230,0.650,401.933,1078.750
11-08 11:57:37,0.548,0.385,99.068,0,0,313352192,7106187264,38334464,826089472,0.200,0.220,0.620,357.833,1080.600
