"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-node2.csv 60",,,,"Date:","11 Aug 2019 10:04:35 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
11-08 10:27:35,11.598,1.785,86.613,0.004,0,168546304,7485579264,24268800,628121600,0.310,0.270,0.120,121041842.283,220798056.200
11-08 10:28:35,11.827,1.207,86.966,0,0,173060096,7480909824,24334336,628142080,0.480,0.340,0.160,86171100.500,153027058.517
11-08 10:29:35,12.522,0.239,87.235,0.004,0,173477888,7480393728,24408064,628150272,0.460,0.370,0.180,48082082.083,37485970.700
11-08 10:30:35,12.288,0.332,87.380,0,0,169172992,7485648896,24473600,627113984,0.590,0.410,0.200,84692157.050,54791167.650
11-08 10:31:35,12.861,0.378,86.761,0,0,169734144,7484997632,24547328,627113984,0.510,0.430,0.220,117537810.367,70812023.633
11-08 10:32:35,12.927,0.593,86.480,0,0,169451520,7485177856,24612864,627134464,0.590,0.470,0.250,162417452.233,93758664.850
11-08 10:33:35,13.013,0.623,86.359,0.004,0,169111552,7485423616,24678400,627150848,0.570,0.490,0.270,193211001.883,108714471.517
11-08 10:34:35,13.012,0.707,86.281,0,0,169697280,7484751872,24743936,627163136,0.520,0.490,0.280,206030559.167,113762228.567
11-08 10:35:35,13.184,0.906,85.910,0,0,169922560,7484387328,24809472,627175424,0.730,0.550,0.320,239413059.717,130689159.417
11-08 10:36:35,0.175,0.067,99.758,0,0,169754624,7484497920,24866816,627175424,0.360,0.480,0.310,1008.200,1259.317
11-08 10:37:35,0.146,0.121,99.729,0.004,0,169398272,7484772352,24924160,627200000,0.130,0.390,0.280,1042.767,1363.267
11-08 10:38:35,0.155,0.075,99.770,0,0,169623552,7484493824,24965120,627208192,0.050,0.320,0.260,1000.667,1227.217
11-08 10:39:35,0.142,0.088,99.770,0,0,170000384,7484039168,25026560,627224576,0.020,0.260,0.240,1003.300,1224.917
11-08 10:40:35,0.188,0.071,99.737,0.004,0,169984000,7483981824,25092096,627232768,0.310,0.290,0.260,1019.817,1359.383
11-08 10:41:35,0.155,0.109,99.737,0,0,170086400,7483809792,25149440,627245056,0.110,0.230,0.240,1003.733,1284.383
11-08 10:42:35,0.171,0.100,99.724,0.004,0,170262528,7483551744,25214976,627257344,0.170,0.220,0.230,1032.750,1435.433
11-08 10:43:35,0.171,0.096,99.729,0.004,0,170504192,7483252736,25272320,627253248,0.060,0.180,0.210,948.917,1256.633
11-08 10:44:35,9.069,0.617,90.314,0,0,169086976,7484612608,25313280,627269632,0.470,0.270,0.240,62416690.033,64838288.783
11-08 10:45:35,4.082,0.448,95.466,0.004,0,169254912,7484375040,25378816,627269632,0.240,0.230,0.230,26844146.217,49346520.367
11-08 10:46:35,0.180,0.063,99.758,0,0,169533440,7484051456,25419776,627273728,0.080,0.190,0.210,1059.717,1547.350
