"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-encap-go-node1.csv 60",,,,"Date:","12 Aug 2019 01:07:19 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
12-08 01:46:19,9.608,4.985,85.403,0.004,0,357031936,6973448192,32186368,920244224,0.710,0.710,0.630,618243306.450,616301724.583
12-08 01:47:19,13.018,3.432,83.551,0,0,355438592,6974963712,32268288,920240128,0.630,0.690,0.620,445223311.817,445875594.067
12-08 01:48:19,5.674,0.574,93.748,0.004,0,355115008,6975209472,32342016,920244224,0.370,0.600,0.600,45345020.183,24885570.050
12-08 01:49:19,0.915,0.571,98.502,0.013,0,328302592,7002718208,32526336,920276992,0.200,0.510,0.570,18446744024990343168,18446744025007822848
12-08 01:50:19,0.742,0.369,98.885,0.004,0,329781248,7001407488,32645120,920211456,0.390,0.520,0.560,486.550,1212.217
12-08 01:51:19,0.688,0.340,98.968,0.004,0,329457664,7001632768,32743424,920211456,0.140,0.420,0.530,445.867,1140.283
12-08 01:52:19,0.658,0.457,98.881,0.004,0,329662464,7001341952,32825344,920215552,0.270,0.390,0.510,411.483,1098
12-08 01:53:19,0.737,0.406,98.853,0.004,0,330080256,7000825856,32923648,920215552,0.100,0.320,0.470,509.817,1173.867
12-08 01:54:19,0.717,0.348,98.931,0.004,0,330493952,7000309760,33021952,920219648,0.030,0.260,0.440,489.100,1150.283
12-08 01:55:19,0.632,0.377,98.991,0,0,330420224,7000293376,33112064,920219648,0.010,0.210,0.410,482.367,1153.150
12-08 01:56:19,0.692,0.499,98.805,0.004,0,331608064,6999003136,33210368,920223744,0.030,0.180,0.390,419.150,1163.350
12-08 01:57:19,0.695,0.477,98.824,0.004,0,331292672,6999228416,33300480,920223744,0.050,0.160,0.360,396.367,1139.550
12-08 01:58:19,0.674,0.398,98.928,0,0,331751424,6998679552,33390592,920223744,0.300,0.230,0.370,454.533,1168.450
