"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-wireguard-go-node2.csv 60",,,,"Date:","11 Aug 2019 14:44:21 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
11-08 15:04:21,13.026,12.138,74.836,0,0,256540672,7407190016,16912384,626221056,0.970,0.630,0.260,13022099.067,23460283.250
11-08 15:05:21,12.989,11.870,75.141,0,0,256528384,7407128576,16969728,626225152,0.870,0.680,0.300,15405498.883,28238999.633
11-08 15:06:21,13.149,12.072,74.775,0.004,0,257056768,7406481408,17035264,626241536,0.830,0.700,0.330,17836374.083,33077703.583
11-08 15:07:21,13.305,11.970,74.725,0,0,258338816,7405109248,17100800,626249728,0.950,0.780,0.380,19906924.333,37256571.033
11-08 15:08:21,11.806,12.268,75.926,0,0,259514368,7404838912,17158144,625217536,1.380,0.950,0.470,9341634.350,14780448.417
11-08 15:09:21,11.898,13.245,74.853,0.004,0,271904768,7392354304,17215488,625221632,1.100,0.950,0.500,9486728.500,6848087.700
11-08 15:10:21,11.993,13.244,74.763,0,0,286543872,7377633280,17256448,625242112,0.870,0.920,0.520,15177989.600,9670877.633
11-08 15:11:21,12.186,13.267,74.547,0,0,286380032,7377719296,17305600,625250304,1.360,1.030,0.580,21056886.883,12619550.767
11-08 15:12:21,12.120,13.309,74.571,0,0,287182848,7376842752,17354752,625262592,1.430,1.090,0.630,26607421.783,15376848.667
11-08 15:13:21,12.343,13.275,74.378,0.004,0,287625216,7376306176,17416192,625266688,1.080,1.050,0.640,31557538.617,17794314.900
11-08 15:14:21,12.304,13.390,74.305,0,0,287105024,7376740352,17465344,625287168,1.100,1.050,0.670,36416243.567,20185998.450
11-08 15:15:21,8.215,9.012,82.769,0.004,0,287170560,7376564224,17530880,625299456,0.660,0.940,0.650,26450796.050,14470913.433
11-08 15:16:21,0.217,0.100,99.682,0,0,286851072,7376805888,17596416,625307648,0.320,0.780,0.610,1104.483,1395.833
11-08 15:17:21,0.213,0.179,99.604,0.004,0,286576640,7376998400,17661952,625324032,0.160,0.650,0.580,1071.667,1288.583
11-08 15:18:21,0.209,0.121,99.670,0,0,286834688,7376674816,17719296,625332224,0.060,0.530,0.540,1057.367,1321.483
11-08 15:19:21,0.213,0.092,99.691,0.004,0,286769152,7376658432,17776640,625348608,0.020,0.430,0.500,1046.367,1397.683
11-08 15:20:21,0.205,0.129,99.666,0,0,286982144,7376388096,17825792,625356800,0,0.350,0.470,1053.233,1330.233
11-08 15:21:21,0.201,0.121,99.674,0.004,0,286920704,7376388096,17874944,625369088,0,0.280,0.440,1082.017,1400.467
11-08 15:22:21,0.209,0.142,99.649,0,0,287039488,7376211968,17915904,625381376,0,0.230,0.410,1088.600,1429.533
11-08 15:23:21,1.620,0.520,97.860,0,0,290664448,7372525568,17965056,625393664,0.080,0.200,0.380,3524552.450,368808.483
11-08 15:24:21,5.844,4.841,89.311,0.004,0,304594944,7358529536,18022400,625393664,0.360,0.270,0.390,256429499.667,3241061.617
11-08 15:25:21,4.598,4.130,91.271,0,0,377999360,7285084160,18063360,625393664,0.440,0.310,0.400,8110513.167,15404637.850
11-08 15:26:21,0.418,0.221,99.353,0.008,0,343109632,7321128960,18186240,624865280,0.160,0.250,0.370,18446744073402267648,18446744073614645248
11-08 15:27:21,0.192,0.096,99.712,0,0,343846912,7320338432,18239488,624865280,0.060,0.200,0.340,572.717,273.517
